SteuerJahr,QuarSort,QuarLang,SteuerTarifSort,SteuerTarifLang,AnzBestZiv,SteuerEinkommen_p50,SteuerEinkommen_p25,SteuerEinkommen_p75
2012,11,Rathaus,0,Grundtarif,1616,48.10,20.00,84.30
2012,12,Hochschulen,0,Grundtarif,299,41.10,12.10,72.10
2012,13,Lindenhof,0,Grundtarif,1130,20.10,0.00,51.80
2012,14,City,0,Grundtarif,542,9.55,0.00,50.80
2012,21,Wollishofen,0,Grundtarif,6979,42.00,18.50,67.20
2012,23,Leimbach,0,Grundtarif,1745,37.40,18.20,57.80
2012,24,Enge,0,Grundtarif,3692,55.40,24.30,92.20
2012,31,Alt-Wiedikon,0,Grundtarif,7436,49.30,24.40,75.30
2012,33,Friesenberg,0,Grundtarif,3471,32.60,10.70,53.10
2012,34,Sihlfeld,0,Grundtarif,10037,41.10,20.30,63.50
2012,41,Werd,0,Grundtarif,2088,46.65,20.75,75.80
2012,42,Langstrasse,0,Grundtarif,5803,39.70,17.20,65.00
2012,44,Hard,0,Grundtarif,5912,34.10,16.75,53.80
2012,51,Gewerbeschule,0,Grundtarif,4989,38.60,15.80,65.00
2012,52,Escher Wyss,0,Grundtarif,1654,55.75,28.50,85.60
2012,61,Unterstrass,0,Grundtarif,8931,45.70,22.00,72.60
2012,63,Oberstrass,0,Grundtarif,4098,51.35,22.00,84.90
2012,71,Fluntern,0,Grundtarif,2779,55.70,17.80,99.30
2012,72,Hottingen,0,Grundtarif,4374,53.70,20.00,91.00
2012,73,Hirslanden,0,Grundtarif,3181,47.40,20.70,80.00
2012,74,Witikon,0,Grundtarif,3927,46.20,20.98,72.20
2012,81,Seefeld,0,Grundtarif,2567,60.10,28.70,98.70
2012,82,Mühlebach,0,Grundtarif,2746,55.35,25.00,92.40
2012,83,Weinegg,0,Grundtarif,1997,46.50,17.80,74.30
2012,91,Albisrieden,0,Grundtarif,8152,41.15,20.50,62.65
2012,92,Altstetten,0,Grundtarif,12048,40.30,20.00,59.90
2012,101,Höngg,0,Grundtarif,8625,48.20,23.70,73.00
2012,102,Wipkingen,0,Grundtarif,7839,44.90,20.60,68.30
2012,111,Affoltern,0,Grundtarif,8170,38.70,18.40,59.50
2012,115,Oerlikon,0,Grundtarif,8545,43.90,20.00,69.30
2012,119,Seebach,0,Grundtarif,7933,38.40,17.50,59.40
2012,121,Saatlen,0,Grundtarif,2066,31.30,14.20,50.80
2012,122,Schwamendingen-Mitte,0,Grundtarif,3978,32.65,15.60,50.00
2012,123,Hirzenbach,0,Grundtarif,3683,29.00,12.10,46.40
